id,title,genres,imdb_id,year
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,114709,1995
2,Jumanji,Adventure|Children|Fantasy,113497,1995
3,Grumpier Old Men,Comedy|Romance,113228,1995
4,Waiting to Exhale,Comedy|Drama|Romance,114885,1995
5,Father of the Bride Part II,Comedy,113041,1995
6,Heat,Action|Crime|Thriller,113277,1995
7,Sabrina,Comedy|Romance,114319,1995
8,Tom and Huck,Adventure|Children,112302,1995
9,Sudden Death,Action,114576,1995
10,GoldenEye,Action|Adventure|Thriller,113189,1995
11,"American President, The",Comedy|Drama|Romance,112346,1995
12,Dracula: Dead and Loving It,Comedy|Horror,112896,1995
13,Balto,Adventure|Animation|Children,112453,1995
14,Nixon,Drama,113987,1995
15,Cutthroat Island,Action|Adventure|Romance,112760,1995
16,Casino,Crime|Drama,112641,1995
17,Sense and Sensibility,Drama|Romance,114388,1995
18,Four Rooms,Comedy,113101,1995
19,Ace Ventura: When Nature Calls,Comedy,112281,1995
20,Money Train,Action|Comedy|Crime|Drama|Thriller,113845,1995
21,Get Shorty,Comedy|Crime|Thriller,113161,1995
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,112722,1995
23,Assassins,Action|Crime|Thriller,112401,1995
24,Powder,Drama|Sci-Fi,114168,1995
25,Leaving Las Vegas,Drama|Romance,113627,1995
26,Othello,Drama,114057,1995
27,Now and Then,Children|Drama,114011,1995
28,Persuasion,Drama|Romance,114117,1995
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,1995
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,115012,1995
31,Dangerous Minds,Drama,112792,1995
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,114746,1995
34,Babe,Children|Drama,112431,1995
36,Dead Man Walking,Crime|Drama,112818,1995
38,It Takes Two,Children|Comedy,113442,1995
39,Clueless,Comedy|Romance,112697,1995
40,"Cry, the Beloved Country",Drama,112749,1995
41,Richard III,Drama|War,114279,1995
42,Dead Presidents,Action|Crime|Drama,112819,1995
43,Restoration,Drama,114272,1995
44,Mortal Kombat,Action|Adventure|Fantasy,113855,1995
45,To Die For,Comedy|Drama|Thriller,114681,1995
46,How to Make an American Quilt,Drama|Romance,113347,1995
47,Seven (a.k.a. Se7en),Mystery|Thriller,114369,1995
48,Pocahontas,Animation|Children|Drama|Musical|Romance,114148,1995
49,When Night Is Falling,Drama|Romance,114916,1995
50,"Usual Suspects, The",Crime|Mystery|Thriller,114814,1995
52,Mighty Aphrodite,Comedy|Drama|Romance,113819,1995
53,Lamerica,Adventure|Drama,110299,1994
54,"Big Green, The",Children|Comedy,112499,1995
55,Georgia,Drama,113158,1995
57,Home for the Holidays,Drama,113321,1995
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,110877,1994
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,113419,1995
61,Eye for an Eye,Drama|Thriller,116260,1996
62,Mr. Holland's Opus,Drama,113862,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,116126,1996
64,Two if by Sea,Comedy|Romance,118002,1996
65,Bio-Dome,Comedy,115683,1996
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,116839,1996
68,French Twist (Gazon maudit),Comedy|Romance,113149,1995
69,Friday,Comedy,113118,1995
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,116367,1996
71,Fair Game,Action,113010,1995
72,Kicking and Screaming,Comedy|Drama,113537,1995
73,"Misérables, Les",Drama|War,113828,1995
74,Bed of Roses,Drama|Romance,115644,1996
75,Big Bully,Comedy|Drama,115676,1996
76,Screamers,Action|Sci-Fi|Thriller,114367,1995
77,Nico Icon,Documentary,113973,1995
78,"Crossing Guard, The",Action|Crime|Drama|Thriller,112744,1995
79,"Juror, The",Drama|Thriller,116731,1996
80,"White Balloon, The (Badkonake sefid)",Children|Drama,112445,1995
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,114660,1995
82,Antonia's Line (Antonia),Comedy|Drama,112379,1995
83,Once Upon a Time... When We Were Colored,Drama|Romance,114039,1995
85,Angels and Insects,Drama|Romance,112365,1995
86,White Squall,Action|Adventure|Drama,118158,1996
87,Dunston Checks In,Children|Comedy,116151,1996
88,Black Sheep,Comedy,115697,1996
89,Nick of Time,Action|Thriller,113972,1995
92,Mary Reilly,Drama|Horror|Thriller,117002,1996
93,Vampire in Brooklyn,Comedy|Horror|Romance,114825,1995
94,Beautiful Girls,Comedy|Drama|Romance,115639,1996
95,Broken Arrow,Action|Adventure|Thriller,115759,1996
96,In the Bleak Midwinter,Comedy|Drama,113403,1995
97,"Hate (Haine, La)",Crime|Drama,113247,1995
99,Heidi Fleiss: Hollywood Madam,Documentary,113283,1995
100,City Hall,Drama|Thriller,115907,1996
101,Bottle Rocket,Adventure|Comedy|Crime|Romance,115734,1996
102,Mr. Wrong,Comedy,117102,1996
103,Unforgettable,Mystery|Sci-Fi|Thriller,118040,1996
104,Happy Gilmore,Comedy,116483,1996
105,"Bridges of Madison County, The",Drama|Romance,112579,1995
106,Nobody Loves Me (Keiner liebt mich),Comedy|Drama,110251,1994
107,Muppet Treasure Island,Adventure|Children|Comedy|Musical,117110,1996
108,Catwalk,Documentary,112646,1996
110,Braveheart,Action|Drama|War,112573,1995
111,Taxi Driver,Crime|Drama|Thriller,75314,1976
112,Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,113326,1995
113,Before and After,Drama|Mystery,115645,1996
116,Anne Frank Remembered,Documentary,112373,1995
117,"Young Poisoner's Handbook, The",Crime|Drama,115033,1995
118,If Lucy Fell,Comedy|Romance,116606,1996
119,"Steal Big, Steal Little",Comedy,114536,1995
121,"Boys of St. Vincent, The",Drama,106473,1992
122,Boomerang,Comedy|Romance,103859,1992
123,Chungking Express (Chung Hing sam lam),Drama|Mystery|Romance,109424,1994
125,Flirting With Disaster,Comedy,116324,1996
126,"NeverEnding Story III, The",Adventure|Children|Fantasy,110647,1994
128,Jupiter's Wife,Documentary,110217,1994
129,Pie in the Sky,Comedy|Romance,114131,1996
132,Jade,Thriller,113451,1995
135,Down Periscope,Comedy,116130,1996
137,Man of the Year,Documentary,113756,1995
140,Up Close and Personal,Drama|Romance,118055,1996
141,"Birdcage, The",Comedy,115685,1996
144,"Brothers McMullen, The",Comedy,112585,1995
145,Bad Boys,Action|Comedy|Crime|Drama|Thriller,112442,1995
146,"Amazing Panda Adventure, The",Adventure|Children,112342,1995
147,"Basketball Diaries, The",Drama,112461,1995
148,"Awfully Big Adventure, An",Drama,112427,1995
149,Amateur,Crime|Drama|Thriller,109093,1994
150,Apollo 13,Adventure|Drama|IMAX,112384,1995
151,Rob Roy,Action|Drama|Romance|War,114287,1995
152,"Addiction, The",Drama|Horror,112288,1995
153,Batman Forever,Action|Adventure|Comedy|Crime,112462,1995
154,Beauty of the Day (Belle de jour),Drama,61395,1967
155,Beyond Rangoon,Adventure|Drama|War,112495,1995
156,Blue in the Face,Comedy|Drama,112541,1995
157,Canadian Bacon,Comedy|War,109370,1995
158,Casper,Adventure|Children,112642,1995
159,Clockers,Crime|Drama|Mystery,112688,1995
160,Congo,Action|Adventure|Mystery|Sci-Fi,112715,1995
161,Crimson Tide,Drama|Thriller|War,112740,1995
162,Crumb,Documentary,109508,1994
163,Desperado,Action|Romance|Western,112851,1995
164,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,112857,1995
165,Die Hard: With a Vengeance,Action|Crime|Thriller,112864,1995
166,"Doom Generation, The",Comedy|Crime|Drama,112887,1995
168,First Knight,Action|Drama|Romance,113071,1995
169,Free Willy 2: The Adventure Home,Adventure|Children|Drama,113114,1995
170,Hackers,Action|Adventure|Crime|Thriller,113243,1995
171,Jeffrey,Comedy|Drama,113464,1995
172,Johnny Mnemonic,Action|Sci-Fi|Thriller,113481,1995
173,Judge Dredd,Action|Crime|Sci-Fi,113492,1995
174,Jury Duty,Comedy,113500,1995
175,Kids,Drama,113540,1995
176,Living in Oblivion,Comedy,113677,1995
177,Lord of Illusions,Horror,113690,1995
178,Love & Human Remains,Comedy|Drama,107447,1993
179,Mad Love,Drama|Romance,113729,1995
180,Mallrats,Comedy|Romance,113749,1995
181,Mighty Morphin Power Rangers: The Movie,Action|Children,113820,1995
183,Mute Witness,Comedy|Horror|Thriller,110604,1994
184,Nadja,Drama,110620,1994
185,"Net, The",Action|Crime|Thriller,113957,1995
186,Nine Months,Comedy|Romance,113986,1995
187,Party Girl,Comedy,114095,1995
188,"Prophecy, The",Fantasy|Horror|Mystery,114194,1995
189,Reckless,Comedy|Fantasy,114241,1995
190,Safe,Thriller,114323,1995
191,"Scarlet Letter, The",Drama|Romance,114345,1995
193,Showgirls,Drama,114436,1995
194,Smoke,Comedy|Drama,114478,1995
195,Something to Talk About,Comedy|Drama|Romance,114496,1995
196,Species,Horror|Sci-Fi,114508,1995
198,Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,1995
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama|Musical|Romance,58450,1964
201,Three Wishes,Drama|Fantasy,114663,1995
202,Total Eclipse,Drama|Romance,114702,1995
203,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,114682,1995
204,Under Siege 2: Dark Territory,Action,114781,1995
205,Unstrung Heroes,Comedy|Drama,114798,1995
206,Unzipped,Documentary,114805,1995
207,"Walk in the Clouds, A",Drama|Romance,114887,1995
208,Waterworld,Action|Adventure|Sci-Fi,114898,1995
209,White Man's Burden,Drama,114928,1995
210,Wild Bill,Western,114938,1995
211,"Browning Version, The",Drama,109340,1994
212,Bushwhacked,Adventure|Comedy|Crime|Mystery,112602,1995
213,Burnt by the Sun (Utomlyonnye solntsem),Drama,111579,1994
214,Before the Rain (Pred dozhdot),Drama|War,110882,1994
215,Before Sunrise,Drama|Romance,112471,1995
216,Billy Madison,Comedy,112508,1995
217,"Babysitter, The",Drama|Thriller,112438,1995
218,Boys on the Side,Comedy|Drama,112571,1995
219,"Cure, The",Drama,112757,1995
220,Castle Freak,Horror,112643,1995
222,Circle of Friends,Drama|Romance,112679,1995
223,Clerks,Comedy,109445,1994
224,Don Juan DeMarco,Comedy|Drama|Romance,112883,1995
225,Disclosure,Drama|Thriller,109635,1994
227,Drop Zone,Action|Thriller,109676,1994
228,Destiny Turns on the Radio,Comedy,112854,1995
229,Death and the Maiden,Drama|Thriller,109579,1994
230,Dolores Claiborne,Drama|Thriller,109642,1995
231,Dumb & Dumber (Dumb and Dumber),Adventure|Comedy,109686,1994
232,Eat Drink Man Woman (Yin shi nan nu),Comedy|Drama|Romance,111797,1994
233,Exotica,Drama,109759,1994
234,Exit to Eden,Comedy,109758,1994
235,Ed Wood,Comedy|Drama,109707,1994
236,French Kiss,Action|Comedy|Romance,113117,1995
237,Forget Paris,Comedy|Romance,113097,1995
238,Far From Home: The Adventures of Yellow Dog,Adventure|Children,113028,1995
239,"Goofy Movie, A",Animation|Children|Comedy|Romance,113198,1995
240,Hideaway,Thriller,113303,1995
241,Fluke,Children|Drama,113089,1995
242,Farinelli: il castrato,Drama|Musical,109771,1994
243,Gordy,Children|Comedy|Fantasy,113199,1995
246,Hoop Dreams,Documentary,110057,1994
247,Heavenly Creatures,Crime|Drama,110005,1994
248,Houseguest,Comedy,110066,1994
249,Immortal Beloved,Drama|Romance,110116,1994
250,Heavyweights (Heavy Weights),Children|Comedy,110006,1995
251,"Hunted, The",Action,113360,1995
252,I.Q.,Comedy|Romance,110099,1994
253,Interview with the Vampire: The Vampire Chronicles,Drama|Horror,110148,1994
254,Jefferson in Paris,Drama,113463,1995
255,"Jerky Boys, The",Comedy,110189,1995
256,Junior,Comedy|Sci-Fi,110216,1994
257,Just Cause,Mystery|Thriller,113501,1995
258,"Kid in King Arthur's Court, A",Adventure|Children|Comedy|Fantasy|Romance,113538,1995
259,Kiss of Death,Crime|Drama|Thriller,113552,1995
260,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,76759,1977
261,Little Women,Drama,110367,1994
262,"Little Princess, A",Children|Drama,113670,1995
263,Ladybird Ladybird,Drama,110296,1994
265,Like Water for Chocolate (Como agua para chocolate),Drama|Fantasy|Romance,103994,1992
266,Legends of the Fall,Drama|Romance|War|Western,110322,1994
267,Major Payne,Comedy,110443,1995
269,My Crazy Life (Mi vida loca),Drama,107566,1993
270,Love Affair,Drama|Romance,110391,1994
271,Losing Isaiah,Drama,113691,1995
272,"Madness of King George, The",Comedy|Drama,110428,1994
273,Mary Shelley's Frankenstein (Frankenstein),Drama|Horror|Sci-Fi,109836,1994
274,Man of the House,Comedy,113755,1995
275,Mixed Nuts,Comedy,110538,1994
276,Milk Money,Comedy|Romance,110516,1994
277,Miracle on 34th Street,Drama,110527,1994
278,Miami Rhapsody,Comedy,113808,1995
279,My Family,Drama,113896,1995
280,Murder in the First,Drama|Thriller,113870,1995
281,Nobody's Fool,Comedy|Drama|Romance,110684,1994
282,Nell,Drama,110638,1994
283,New Jersey Drive,Crime|Drama,113967,1995
284,New York Cop (Nyû Yôku no koppu),Action|Crime,117169,1993
285,Beyond Bedlam,Drama|Horror,106402,1993
287,Nina Takes a Lover,Comedy|Romance,110671,1994
288,Natural Born Killers,Action|Crime|Thriller,110632,1994
289,Only You,Comedy|Romance,110737,1994
290,Once Were Warriors,Crime|Drama,110729,1994
291,Poison Ivy II,Drama|Thriller,114151,1996
292,Outbreak,Action|Drama|Sci-Fi|Thriller,114069,1995
293,Léon: The Professional (a.k.a. The Professional) (Léon),Action|Crime|Drama|Thriller,110413,1994
294,"Perez Family, The",Comedy|Romance,114113,1995
295,"Pyromaniac's Love Story, A",Comedy|Romance,114210,1995
296,Pulp Fiction,Comedy|Crime|Drama|Thriller,110912,1994
298,Pushing Hands (Tui shou),Drama,105652,1992
299,Priest,Drama,110889,1994
300,Quiz Show,Drama,110932,1994
301,Picture Bride (Bijo photo),Drama|Romance,114129,1994
302,"Queen Margot (Reine Margot, La)",Drama|Romance,110963,1994
303,"Quick and the Dead, The",Action|Thriller|Western,114214,1995
304,Roommates,Comedy|Drama,114296,1995
305,Ready to Wear (Pret-A-Porter),Comedy,110907,1994
306,Three Colors: Red (Trois couleurs: Rouge),Drama,111495,1994
307,Three Colors: Blue (Trois couleurs: Bleu),Drama,108394,1993
308,Three Colors: White (Trzy kolory: Bialy),Comedy|Drama,111507,1994
310,Rent-a-Kid,Comedy,114268,1995
311,Relative Fear,Horror|Thriller,110965,1994
312,Stuart Saves His Family,Comedy,114571,1995
313,"Swan Princess, The",Animation|Children,111333,1994
314,"Secret of Roan Inish, The",Children|Drama|Fantasy|Mystery,111112,1994
315,"Specialist, The",Action|Drama|Thriller,111255,1994
316,Stargate,Action|Adventure|Sci-Fi,111282,1994
317,"Santa Clause, The",Comedy|Drama|Fantasy,111070,1994
318,"Shawshank Redemption, The",Crime|Drama,111161,1994
319,Shallow Grave,Comedy|Drama|Thriller,111149,1994
320,Suture,Film-Noir|Thriller,108260,1993
321,Strawberry and Chocolate (Fresa y chocolate),Drama,106966,1993
322,Swimming with Sharks,Comedy|Drama,114594,1995
324,"Sum of Us, The",Comedy|Drama,111309,1994
325,National Lampoon's Senior Trip,Comedy,113936,1995
326,To Live (Huozhe),Drama,110081,1994
327,Tank Girl,Action|Comedy|Sci-Fi,114614,1995
328,Tales from the Crypt Presents: Demon Knight,Horror|Thriller,114608,1995
329,Star Trek: Generations,Adventure|Drama|Sci-Fi,111280,1994
330,Tales from the Hood,Action|Crime|Horror,114609,1995
331,Tom & Viv,Drama,111454,1994
332,Village of the Damned,Horror|Sci-Fi,114852,1995
333,Tommy Boy,Comedy,114694,1995
334,Vanya on 42nd Street,Drama,111590,1994
335,Underneath,Mystery|Thriller,114788,1995
336,"Walking Dead, The",Drama|War,114888,1995
337,What's Eating Gilbert Grape,Drama,108550,1993
338,Virtuosity,Action|Sci-Fi|Thriller,114857,1995
339,While You Were Sleeping,Comedy|Romance,114924,1995
340,"War, The",Adventure|Drama|War,111667,1994
341,Double Happiness,Drama,109655,1994
342,Muriel's Wedding,Comedy,110598,1994
343,"Baby-Sitters Club, The",Children,112435,1995
344,Ace Ventura: Pet Detective,Comedy,109040,1994
345,"Adventures of Priscilla, Queen of the Desert, The",Comedy|Drama,109045,1994
346,Backbeat,Drama|Musical,106339,1993
347,Bitter Moon,Drama|Film-Noir|Romance,104779,1992
348,Bullets Over Broadway,Comedy,109348,1994
349,Clear and Present Danger,Action|Crime|Drama|Thriller,109444,1994
350,"Client, The",Drama|Mystery|Thriller,109446,1994
351,"Corrina, Corrina",Comedy|Drama|Romance,109484,1994
352,Crooklyn,Comedy|Drama,109504,1994
353,"Crow, The",Action|Crime|Fantasy|Thriller,109506,1994
354,Cobb,Drama,109450,1994
355,"Flintstones, The",Children|Comedy|Fantasy,109813,1994
356,Forrest Gump,Comedy|Drama|Romance|War,109830,1994
357,Four Weddings and a Funeral,Comedy|Romance,109831,1994
358,Higher Learning,Drama,113305,1995
359,I Like It Like That,Comedy|Drama|Romance,110091,1994
360,I Love Trouble,Action|Comedy,110093,1994
361,It Could Happen to You,Comedy|Drama|Romance,110167,1994
362,"Jungle Book, The",Adventure|Children|Romance,110213,1994
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",Documentary,107472,1993
364,"Lion King, The",Adventure|Animation|Children|Drama|Musical|IMAX,110357,1994
365,Little Buddha,Drama,107426,1993
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",Drama|Horror|Mystery|Thriller,111686,1994
367,"Mask, The",Action|Comedy|Crime|Fantasy,110475,1994
368,Maverick,Adventure|Comedy|Western,110478,1994
369,Mrs. Parker and the Vicious Circle,Drama,110588,1994
370,Naked Gun 33 1/3: The Final Insult,Action|Comedy,110622,1994
371,"Paper, The",Comedy|Drama,110771,1994
372,Reality Bites,Comedy|Drama|Romance,110950,1994
373,Red Rock West,Thriller,105226,1992
374,Richie Rich,Children|Comedy,110989,1994
376,"River Wild, The",Action|Thriller,110997,1994
377,Speed,Action|Romance|Thriller,111257,1994
378,Speechless,Comedy|Romance,111256,1994
379,Timecop,Action|Sci-Fi|Thriller,111438,1994
380,True Lies,Action|Adventure|Comedy|Romance|Thriller,111503,1994
381,When a Man Loves a Woman,Drama|Romance,111693,1994
382,Wolf,Drama|Horror|Romance|Thriller,111742,1994
383,Wyatt Earp,Western,111756,1994
384,Bad Company,Action|Crime|Drama,112443,1995
385,"Man of No Importance, A",Drama,110455,1994
386,S.F.W.,Drama,111048,1994
387,"Low Down Dirty Shame, A",Action|Comedy,110399,1994
388,Boys Life,Drama,112570,1995
389,"Colonel Chabert, Le",Drama|Romance|War,109454,1994
390,Faster Pussycat! Kill! Kill!,Action|Crime|Drama,59170,1965
391,Jason's Lyric,Crime|Drama,110186,1994
393,Street Fighter,Action|Adventure|Fantasy,111301,1994
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),Action|Fantasy,110027,1994
406,Federal Hill,Drama,109785,1994
407,In the Mouth of Madness,Horror|Thriller,113409,1995
408,8 Seconds,Drama,109021,1994
409,Above the Rim,Crime|Drama,109035,1994
410,Addams Family Values,Children|Comedy|Fantasy,106220,1993
412,"Age of Innocence, The",Drama,106226,1993
413,Airheads,Comedy,109068,1994
414,"Air Up There, The",Comedy,109067,1994
415,Another Stakeout,Comedy|Thriller,106292,1993
416,Bad Girls,Western,109198,1994
417,Barcelona,Comedy|Romance,109219,1994
418,Being Human,Drama,106379,1993
419,"Beverly Hillbillies, The",Comedy,106400,1993
420,Beverly Hills Cop III,Action|Comedy|Crime|Thriller,109254,1994
421,Black Beauty,Adventure|Children|Drama,109279,1994
422,Blink,Thriller,109297,1994
423,Blown Away,Action|Thriller,109303,1994
424,Blue Chips,Drama,109305,1994
425,Blue Sky,Drama|Romance,109306,1994
426,Body Snatchers,Horror|Sci-Fi|Thriller,106452,1993
427,Boxing Helena,Drama|Mystery|Romance|Thriller,106471,1993
428,"Bronx Tale, A",Drama,106489,1993
429,Cabin Boy,Comedy,109361,1994
430,Calendar Girl,Comedy|Drama,106505,1993
431,Carlito's Way,Crime|Drama,106519,1993
432,City Slickers II: The Legend of Curly's Gold,Adventure|Comedy|Western,109439,1994
433,Clean Slate,Comedy,109443,1994
434,Cliffhanger,Action|Adventure|Thriller,106582,1993
435,Coneheads,Comedy|Sci-Fi,106598,1993
436,Color of Night,Drama|Thriller,109456,1994
437,Cops and Robbersons,Comedy,109480,1994
438,"Cowboy Way, The",Action|Comedy|Drama,109493,1994
440,Dave,Comedy|Romance,106673,1993
441,Dazed and Confused,Comedy,106677,1993
442,Demolition Man,Action|Adventure|Sci-Fi,106697,1993
444,Even Cowgirls Get the Blues,Comedy|Romance,106834,1993
445,Fatal Instinct,Comedy,106873,1993
446,Farewell My Concubine (Ba wang bie ji),Drama|Romance,106332,1993
448,Fearless,Drama,106881,1993
449,Fear of a Black Hat,Comedy,106880,1994
450,With Honors,Comedy|Drama,111732,1994
451,Flesh and Bone,Drama|Mystery|Romance,106926,1993
452,Widows' Peak,Drama,111712,1994
453,For Love or Money,Comedy|Romance,106941,1993
454,"Firm, The",Drama|Thriller,106918,1993
455,Free Willy,Adventure|Children|Drama,106965,1993
456,Fresh,Crime|Drama|Thriller,109842,1994
457,"Fugitive, The",Thriller,106977,1993
458,Geronimo: An American Legend,Drama|Western,107004,1993
459,"Getaway, The",Action|Adventure|Crime|Drama|Romance|Thriller,109890,1994
460,Getting Even with Dad,Comedy,109891,1994
461,Go Fish,Drama|Romance,109913,1994
464,Hard Target,Action|Adventure|Crime|Thriller,107076,1993
466,Hot Shots! Part Deux,Action|Comedy|War,107144,1993
467,Live Nude Girls,Comedy,113674,1995
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The",Comedy|Romance,112966,1995
469,"House of the Spirits, The",Drama|Romance,107151,1993
470,House Party 3,Comedy,110064,1994
471,"Hudsucker Proxy, The",Comedy,110074,1994
472,I'll Do Anything,Comedy|Drama,110097,1994
473,In the Army Now,Comedy|War,110123,1994
474,In the Line of Fire,Action|Thriller,107206,1993
475,In the Name of the Father,Drama,107207,1993
476,"Inkwell, The",Comedy|Drama,110137,1994
477,What's Love Got to Do with It?,Drama|Musical,108551,1993
478,Jimmy Hollywood,Comedy|Crime|Drama,110197,1994
479,Judgment Night,Action|Crime|Thriller,107286,1993
480,Jurassic Park,Action|Adventure|Sci-Fi|Thriller,107290,1993
481,Kalifornia,Drama|Thriller,107302,1993
482,Killing Zoe,Crime|Drama|Thriller,110265,1994
484,Lassie,Adventure|Children,110305,1994
485,Last Action Hero,Action|Adventure|Comedy|Fantasy,107362,1993
486,Life with Mikey,Comedy,107413,1993
487,Lightning Jack,Comedy|Western,110353,1994
488,M. Butterfly,Drama|Romance,107468,1993
489,Made in America,Comedy,107478,1993
490,Malice,Thriller,107497,1993
491,"Man Without a Face, The",Drama,107501,1993
492,Manhattan Murder Mystery,Comedy|Mystery,107507,1993
493,Menace II Society,Action|Crime|Drama,107554,1993
494,Executive Decision,Action|Adventure|Thriller,116253,1996
495,In the Realm of the Senses (Ai no corrida),Drama,74102,1976
496,What Happened Was...,Comedy|Drama|Romance|Thriller,111689,1994
497,Much Ado About Nothing,Comedy|Romance,107616,1993
499,Mr. Wonderful,Comedy|Romance,107613,1993
500,Mrs. Doubtfire,Comedy|Drama,107614,1993
501,Naked,Drama,107653,1993
502,"Next Karate Kid, The",Action|Children|Romance,110657,1994
504,No Escape,Action|Drama|Sci-Fi,110678,1994
505,North,Comedy,110687,1994
506,Orlando,Drama|Fantasy|Romance,107756,1992
507,"Perfect World, A",Crime|Drama|Thriller,107808,1993
508,Philadelphia,Drama,107818,1993
509,"Piano, The",Drama|Romance,107822,1993
510,Poetic Justice,Drama,107840,1993
511,"Program, The",Action|Drama,107889,1993
512,"Puppet Masters, The",Horror|Sci-Fi,111003,1994
513,Radioland Murders,Comedy|Mystery|Romance,110939,1994
514,"Ref, The",Comedy,110955,1994
515,"Remains of the Day, The",Drama|Romance,107943,1993
516,Renaissance Man,Comedy|Drama,110971,1994
517,Rising Sun,Action|Drama|Mystery,107969,1993
518,"Road to Wellville, The",Comedy,111001,1994
519,RoboCop 3,Action|Crime|Drama|Sci-Fi|Thriller,107978,1993
520,Robin Hood: Men in Tights,Comedy,107977,1993
521,Romeo Is Bleeding,Crime|Thriller,107983,1993
522,Romper Stomper,Action|Drama,105275,1992
523,Ruby in Paradise,Drama,108000,1993
524,Rudy,Drama,108002,1993
526,"Savage Nights (Nuits fauves, Les)",Drama,105032,1992
527,Schindler's List,Drama|War,108052,1993
528,"Scout, The",Comedy|Drama,111094,1994
529,Searching for Bobby Fischer,Drama,108065,1993
531,"Secret Garden, The",Children|Drama,108071,1993
532,Serial Mom,Comedy|Crime|Horror,111127,1994
